ID,Year,State,Capacity,Quantity,Ratio,CapOther,Entered,Exited
AKHIORWA96707,1980,AKHIORWA,302.95,228,0.752599439,2699.175,FALSE,TRUE
AKHIORWA96792,1980,AKHIORWA,346.75,304,0.876712329,2655.375,FALSE,TRUE
AKHIORWA97034,1980,AKHIORWA,464.645,418,0.899611531,2537.48,FALSE,TRUE
AKHIORWA97905,1980,AKHIORWA,552.975,500,0.904200009,2449.15,FALSE,FALSE
AKHIORWA98227,1980,AKHIORWA,383.25,352,0.918460535,2618.875,FALSE,TRUE
AKHIORWA98106,1980,AKHIORWA,484.355,441,0.910489207,2517.77,FALSE,FALSE
AKHIORWA99153,1980,AKHIORWA,237.25,202,0.85142255,2764.875,FALSE,TRUE
AKHIORWA98134,1980,AKHIORWA,229.95,206,0.895846923,2772.175,FALSE,FALSE
AKHIORWA96707,1981,AKHIORWA,302.95,228,0.752599439,2717.425,FALSE,TRUE
AKHIORWA96792,1981,AKHIORWA,346.75,304,0.876712329,2673.625,FALSE,TRUE
AKHIORWA97034,1981,AKHIORWA,464.645,418,0.899611531,2555.73,FALSE,TRUE
AKHIORWA97905,1981,AKHIORWA,552.975,500,0.904200009,2467.4,FALSE,FALSE
AKHIORWA98227,1981,AKHIORWA,383.25,346,0.902804958,2637.125,FALSE,TRUE
AKHIORWA98106,1981,AKHIORWA,484.355,449,0.927006018,2536.02,FALSE,FALSE
AKHIORWA99153,1981,AKHIORWA,255.5,217,0.849315068,2764.875,FALSE,TRUE
AKHIORWA98134,1981,AKHIORWA,229.95,206,0.895846923,2790.425,FALSE,FALSE
AKHIORWA96792,1982,AKHIORWA,346.75,304,0.876712329,2677.275,FALSE,TRUE
AKHIORWA96707,1982,AKHIORWA,302.95,257,0.848324806,2721.075,FALSE,TRUE
AKHIORWA97034,1982,AKHIORWA,464.645,418,0.899611531,2559.38,FALSE,TRUE
AKHIORWA97905,1982,AKHIORWA,552.975,500,0.904200009,2471.05,FALSE,FALSE
AKHIORWA98227,1982,AKHIORWA,386.9,350,0.904626518,2637.125,FALSE,TRUE
AKHIORWA98106,1982,AKHIORWA,484.355,464,0.957975039,2539.67,FALSE,FALSE
AKHIORWA99153,1982,AKHIORWA,255.5,217,0.849315068,2768.525,FALSE,TRUE
AKHIORWA98134,1982,AKHIORWA,229.95,206,0.895846923,2794.075,FALSE,FALSE
AKHIORWA96792,1983,AKHIORWA,346.75,304,0.876712329,2708.665,FALSE,TRUE
AKHIORWA96707,1983,AKHIORWA,302.95,257,0.848324806,2752.465,FALSE,TRUE
AKHIORWA97034,1983,AKHIORWA,464.645,423,0.910372435,2590.77,FALSE,TRUE
AKHIORWA97905,1983,AKHIORWA,552.975,500,0.904200009,2502.44,FALSE,FALSE
AKHIORWA98134,1983,AKHIORWA,248.2,224,0.902497985,2807.215,FALSE,FALSE
AKHIORWA98227,1983,AKHIORWA,381.79,343,0.898399644,2673.625,FALSE,TRUE
AKHIORWA98106,1983,AKHIORWA,484.355,464,0.957975039,2571.06,FALSE,FALSE
AKHIORWA99153,1983,AKHIORWA,273.75,233,0.851141553,2781.665,FALSE,TRUE
AKHIORWA96792,1984,AKHIORWA,346.75,304,0.876712329,2231.975,FALSE,TRUE
AKHIORWA96707,1984,AKHIORWA,302.95,257,0.848324806,2275.775,FALSE,TRUE
AKHIORWA97905,1984,AKHIORWA,552.975,500,0.904200009,2025.75,FALSE,FALSE
