Market,Plants,AvgCapacity,StdCapacity,AvgUtilRate,ExitRate,TotalExits,AvgCapOther
AKHIORWA,8,436.081,167.683,0.886,0.462,43,1881.587
AL,7,897.345,350.818,0.886,0.061,6,3743.328
AROK,5,715.898,200.753,0.899,0.136,12,2630.012
AZNVNM,5,689.197,339.641,0.901,0.0,0,2254.961
CA,12,1125.708,464.883,0.877,0.078,16,11134.189
COWY,4,613.144,183.875,0.896,0.0,0,1733.578
FL,6,885.648,320.598,0.897,0.169,14,3020.045
GATN,7,625.751,165.646,0.886,0.084,7,2149.393
IANBSD,9,887.347,272.569,0.847,0.167,19,4499.794
IDMTUT,6,398.7,157.276,0.897,0.087,9,1781.15
IL,5,721.718,322.522,0.874,0.068,5,2121.533
IN,4,816.894,213.675,0.867,0.0,0,2450.682
KS,5,519.471,154.58,0.87,0.116,10,1864.106
KYMSNCLA,4,664.402,137.408,0.897,0.24,12,1222.297
MDVAWV,5,841.191,300.708,0.879,0.0,0,3364.762
MIWI,6,1418.808,639.448,0.877,0.25,19,4308.513
MO,7,1024.654,361.002,0.879,0.021,2,4153.518
NYME,6,842.376,498.519,0.855,0.176,16,3238.36
OH,6,526.771,186.134,0.882,0.472,34,1751.052
PA,13,749.71,272.823,0.86,0.021,4,6878.158
SC,3,945.478,196.068,0.886,0.0,0,1890.956
TX,23,794.326,293.422,0.891,0.272,67,9785.788
